trip_seconds,trip_miles,_#NO_CLASS#_
0.132832,0.000000,-1
0.042607,0.038000,-1
0.097744,0.126000,-1
0.007519,0.000000,-1
0.268170,0.169000,-1
0.137845,0.057000,-1
0.012531,0.010000,-1
0.092732,0.034000,-1
0.067669,0.033000,-1
0.328321,0.402000,-1
0.077694,0.071000,-1
0.047619,0.009000,-1
0.107769,0.060000,-1
0.072682,0.053000,-1
0.062657,0.054000,-1
0.087719,0.057000,-1
0.107769,0.053000,-1
0.017544,0.009000,-1
0.062657,0.028000,-1
0.112782,0.086000,-1
0.052632,0.029000,-1
0.012531,0.009000,-1
0.017544,0.019000,-1
0.077694,0.039000,-1
0.087719,0.055000,-1
0.027569,0.014000,-1
0.017544,0.010000,-1
0.037594,0.012000,-1
0.017544,0.015000,-1
0.017544,0.006000,-1
0.042607,0.016000,-1
0.047619,0.017000,-1
0.017544,0.009000,-1
0.042607,0.015000,-1
0.017544,0.010000,-1
0.017544,0.000000,-1
0.057644,0.035000,-1
0.042607,0.024000,-1
0.072682,0.000000,-1
0.017544,0.006000,-1
0.032581,0.000000,-1
0.012531,0.010000,-1
0.027569,0.005000,-1
0.067669,0.034000,-1
0.062657,0.025000,-1
0.017544,0.007000,-1
0.007519,0.005000,-1
0.022556,0.007000,-1
0.042607,0.015000,-1
0.112782,0.108000,-1
0.082707,0.048000,-1
0.047619,0.021000,-1
0.343358,0.175000,-1
0.017544,0.019000,-1
0.047619,0.028000,-1
0.052632,0.000000,-1
0.052632,0.032000,-1
0.037594,0.007000,-1
0.087719,0.068000,-1
0.047619,0.050000,-1
0.017544,0.004000,-1
0.037594,0.013000,-1
0.052632,0.017000,-1
0.092732,0.100000,-1
0.002506,0.000000,-1
0.022556,0.000000,-1
0.047619,0.022000,-1
0.027569,0.010000,-1
0.017544,0.007000,-1
0.102757,0.061000,-1
0.002506,0.000000,-1
0.012531,0.000000,-1
0.042607,0.000000,-1
0.032581,0.015000,-1
0.052632,0.035000,-1
0.037594,0.021000,-1
0.067669,0.025000,-1
0.047619,0.029000,-1
0.032581,0.014000,-1
0.017544,0.011000,-1
0.057644,0.025000,-1
0.087719,0.055000,-1
0.027569,0.017000,-1
0.072682,0.030000,-1
0.102757,0.049000,-1
0.208020,0.135000,-1
0.022556,0.012000,-1
0.037594,0.010000,-1
0.057644,0.025000,-1
0.062657,0.052000,-1
0.027569,0.006000,-1
0.052632,0.000000,-1
0.027569,0.008000,-1
0.343358,0.023000,-1
0.037594,0.000000,-1
0.062657,0.039000,-1
0.107769,0.067000,-1
0.037594,0.023000,-1
0.057644,0.030000,-1
0.037594,0.028000,-1
0.052632,0.024000,-1
0.062657,0.026000,-1
0.042607,0.011000,-1
0.017544,0.006000,-1
0.152882,0.147000,-1
0.017544,0.009000,-1
0.318296,0.139000,-1
0.042607,0.027000,-1
0.117794,0.055000,-1
0.052632,0.028000,-1
0.037594,0.033000,-1
0.062657,0.065000,-1
0.042607,0.000000,-1
0.022556,0.012000,-1
0.017544,0.008000,-1
0.032581,0.007000,-1
0.057644,0.082000,-1
0.027569,0.015000,-1
0.017544,0.004000,-1
0.007519,0.000000,-1
0.042607,0.021000,-1
0.032581,0.013000,-1
0.057644,0.026000,-1
0.017544,0.009000,-1
0.022556,0.007000,-1
0.022556,0.007000,-1
0.067669,0.068000,-1
0.137845,0.033000,-1
0.017544,0.000000,-1
0.022556,0.006000,-1
0.062657,0.022000,-1
0.012531,0.007000,-1
0.072682,0.052000,-1
0.042607,0.014000,-1
0.012531,0.007000,-1
0.052632,0.022000,-1
0.057644,0.027000,-1
0.017544,0.009000,-1
0.017544,0.008000,-1
0.057644,0.000000,-1
0.027569,0.011000,-1
0.032581,0.014000,-1
0.012531,0.000000,-1
0.047619,0.000000,-1
0.062657,0.026000,-1
0.007519,0.000000,-1
0.012531,0.009000,-1
0.042607,0.016000,-1
0.057644,0.037000,-1
0.052632,0.021000,-1
0.042607,0.013000,-1
0.012531,0.002000,-1
0.052632,0.040000,-1
0.172932,0.048000,-1
0.037594,0.019000,-1
0.022556,0.006000,-1
0.042607,0.031000,-1
0.062657,0.026000,-1
0.007519,0.000000,-1
0.097744,0.000000,-1
0.072682,0.030000,-1
0.042607,0.015000,-1
0.072682,0.000000,-1
0.077694,0.068000,-1
0.022556,0.009000,-1
0.032581,0.000000,-1
0.037594,0.019000,-1
0.067669,0.034000,-1
0.032581,0.018000,-1
0.027569,0.018000,-1
0.042607,0.022000,-1
0.027569,0.016000,-1
0.213033,0.171000,-1
0.137845,0.055000,-1
0.057644,0.029000,-1
0.057644,0.000000,-1
0.027569,0.009000,-1
0.027569,0.014000,-1
0.052632,0.013000,-1
0.112782,0.080000,-1
0.097744,0.032000,-1
0.147870,0.036000,-1
0.082707,0.043000,-1
0.017544,0.007000,-1
0.032581,0.010000,-1
0.032581,0.012000,-1
0.057644,0.029000,-1
0.022556,0.015000,-1
0.022556,0.007000,-1
0.037594,0.018000,-1
0.147870,0.156000,-1
0.162907,0.124000,-1
0.062657,0.032000,-1
0.182957,0.121000,-1
0.022556,0.008000,-1
0.082707,0.032000,-1
0.022556,0.007000,-1
0.087719,0.063000,-1
0.022556,0.008000,-1
0.052632,0.007000,-1
0.027569,0.013000,-1
0.052632,0.000000,-1
0.157895,0.000000,-1
0.122807,0.183000,-1
0.037594,0.021000,-1
0.052632,0.023000,-1
0.017544,0.008000,-1
0.132832,0.078000,-1
0.042607,0.039000,-1
0.032581,0.008000,-1
0.067669,0.015000,-1
0.017544,0.008000,-1
0.032581,0.015000,-1
0.022556,0.000000,-1
0.107769,0.148000,-1
0.057644,0.029000,-1
0.047619,0.063000,-1
0.042607,0.013000,-1
0.047619,0.026000,-1
0.012531,0.000000,-1
0.132832,0.121000,-1
0.127820,0.057000,-1
0.007519,0.000000,-1
0.107769,0.072000,-1
0.042607,0.012000,-1
0.052632,0.013000,-1
0.097744,0.078000,-1
0.002506,0.005000,-1
0.117794,0.094000,-1
0.022556,0.000000,-1
0.062657,0.073000,-1
0.047619,0.018000,-1
0.062657,0.038000,-1
0.047619,0.057000,-1
0.042607,0.013000,-1
0.027569,0.012000,-1
0.037594,0.014000,-1
0.002506,0.001000,-1
0.052632,0.039000,-1
0.032581,0.016000,-1
0.057644,0.032000,-1
0.017544,0.009000,-1
0.112782,0.127000,-1
0.022556,0.011000,-1
0.162907,0.206000,-1
0.042607,0.021000,-1
0.057644,0.035000,-1
0.182957,0.094000,-1
0.042607,0.022000,-1
0.032581,0.017000,-1
0.022556,0.005000,-1
0.012531,0.006000,-1
0.042607,0.023000,-1
0.052632,0.026000,-1
0.027569,0.013000,-1
0.012531,0.000000,-1
0.027569,0.015000,-1
0.027569,0.009000,-1
0.012531,0.005000,-1
0.032581,0.007000,-1
0.022556,0.007000,-1
0.027569,0.015000,-1
0.047619,0.037000,-1
0.032581,0.013000,-1
0.057644,0.041000,-1
0.027569,0.010000,-1
0.032581,0.000000,-1
0.057644,0.027000,-1
0.042607,0.031000,-1
0.077694,0.041000,-1
0.017544,0.008000,-1
0.017544,0.009000,-1
0.017544,0.007000,-1
0.032581,0.015000,-1
0.057644,0.033000,-1
0.047619,0.021000,-1
0.077694,0.034000,-1
0.002506,0.000000,-1
0.107769,0.068000,-1
0.042607,0.023000,-1
0.147870,0.174000,-1
0.132832,0.055000,-1
0.022556,0.009000,-1
0.032581,0.016000,-1
0.132832,0.024000,-1
0.027569,0.000000,-1
0.017544,0.000000,-1
0.022556,0.009000,-1
0.067669,0.027000,-1
0.057644,0.028000,-1
0.072682,0.036000,-1
0.037594,0.017000,-1
0.097744,0.088000,-1
0.047619,0.024000,-1
0.087719,0.066000,-1
0.077694,0.000000,-1
0.007519,0.006000,-1
0.067669,0.038000,-1
0.012531,0.004000,-1
0.017544,0.000000,-1
0.022556,0.011000,-1
0.037594,0.013000,-1
0.032581,0.010000,-1
0.017544,0.000000,-1
0.057644,0.008000,-1
0.027569,0.012000,-1
0.057644,0.033000,-1
0.007519,0.006000,-1
0.167920,0.179000,-1
0.047619,0.035000,-1
0.057644,0.047000,-1
0.127820,0.076000,-1
0.017544,0.004000,-1
0.042607,0.025000,-1
0.007519,0.003000,-1
0.042607,0.011000,-1
0.117794,0.149000,-1
0.047619,0.014000,-1
0.273183,0.207000,-1
0.037594,0.000000,-1
0.022556,0.007000,-1
0.047619,0.037000,-1
0.032581,0.012000,-1
0.027569,0.014000,-1
0.213033,0.141000,-1
0.077694,0.038000,-1
0.077694,0.075000,-1
0.027569,0.006000,-1
0.032581,0.014000,-1
0.022556,0.009000,-1
0.012531,0.007000,-1
0.032581,0.000000,-1
0.032581,0.000000,-1
0.052632,0.044000,-1
0.082707,0.065000,-1
0.022556,0.013000,-1
0.072682,0.035000,-1
0.022556,0.008000,-1
0.052632,0.018000,-1
0.047619,0.022000,-1
0.032581,0.000000,-1
0.067669,0.041000,-1
0.057644,0.024000,-1
0.042607,0.024000,-1
0.022556,0.006000,-1
0.012531,0.006000,-1
0.052632,0.054000,-1
0.052632,0.040000,-1
0.007519,0.000000,-1
0.077694,0.030000,-1
0.017544,0.013000,-1
0.032581,0.014000,-1
0.022556,0.007000,-1
0.082707,0.070000,-1
0.032581,0.014000,-1
0.022556,0.013000,-1
0.002506,0.001000,-1
0.057644,0.000000,-1
0.062657,0.022000,-1
0.097744,0.061000,-1
0.112782,0.056000,-1
0.032581,0.000000,-1
0.007519,0.003000,-1
0.017544,0.010000,-1
0.077694,0.023000,-1
0.167920,0.130000,-1
0.052632,0.018000,-1
0.042607,0.000000,-1
0.017544,0.008000,-1
0.017544,0.010000,-1
0.027569,0.013000,-1
0.027569,0.010000,-1
0.027569,0.000000,-1
0.022556,0.011000,-1
0.027569,0.008000,-1
0.012531,0.005000,-1
0.027569,0.020000,-1
0.218045,0.179000,-1
0.057644,0.018000,-1
0.032581,0.016000,-1
0.032581,0.009000,-1
0.017544,0.012000,-1
0.027569,0.011000,-1
0.022556,0.008000,-1
0.047619,0.031000,-1
0.027569,0.016000,-1
0.062657,0.062000,-1
0.187970,0.177000,-1
0.027569,0.006000,-1
0.027569,0.000000,-1
0.017544,0.007000,-1
0.012531,0.005000,-1
0.087719,0.037000,-1
0.012531,0.005000,-1
0.017544,0.008000,-1
0.042607,0.022000,-1
0.132832,0.000000,-1
0.017544,0.009000,-1
0.017544,0.012000,-1
0.012531,0.006000,-1
0.238095,0.090000,-1
0.032581,0.014000,-1
0.057644,0.069000,-1
0.037594,0.013000,-1
0.057644,0.045000,-1
0.147870,0.161000,-1
0.042607,0.018000,-1
0.007519,0.000000,-1
0.032581,0.011000,-1
0.062657,0.043000,-1
0.047619,0.020000,-1
0.062657,0.031000,-1
0.042607,0.018000,-1
0.037594,0.015000,-1
0.037594,0.013000,-1
0.027569,0.010000,-1
0.032581,0.000000,-1
0.032581,0.012000,-1
0.052632,0.017000,-1
0.348371,0.306000,-1
0.057644,0.011000,-1
0.082707,0.081000,-1
0.062657,0.033000,-1
0.017544,0.011000,-1
0.017544,0.004000,-1
0.032581,0.017000,-1
0.032581,0.010000,-1
0.032581,0.015000,-1
0.012531,0.012000,-1
0.052632,0.024000,-1
0.047619,0.031000,-1
0.027569,0.012000,-1
0.032581,0.017000,-1
0.037594,0.019000,-1
0.097744,0.053000,-1
0.007519,0.004000,-1
0.012531,0.005000,-1
0.037594,0.022000,-1
0.032581,0.010000,-1
0.057644,0.023000,-1
0.022556,0.000000,-1
0.012531,0.000000,-1
0.047619,0.027000,-1
0.157895,0.000000,-1
0.037594,0.017000,-1
0.102757,0.123000,-1
0.027569,0.017000,-1
0.012531,0.006000,-1
0.037594,0.013000,-1
0.117794,0.062000,-1
0.012531,0.011000,-1
0.032581,0.015000,-1
0.122807,0.143000,-1
0.107769,0.110000,-1
0.042607,0.030000,-1
0.082707,0.000000,-1
0.077694,0.037000,-1
0.047619,0.000000,-1
0.092732,0.087000,-1
0.007519,0.003000,-1
0.032581,0.015000,-1
0.087719,0.027000,-1
0.092732,0.046000,-1
0.017544,0.011000,-1
0.017544,0.007000,-1
0.087719,0.052000,-1
0.177945,0.170000,-1
0.052632,0.032000,-1
0.032581,0.011000,-1
0.077694,0.027000,-1
0.027569,0.009000,-1
0.042607,0.016000,-1
0.037594,0.013000,-1
0.042607,0.017000,-1
0.032581,0.018000,-1
0.032581,0.020000,-1
0.047619,0.000000,-1
0.032581,0.019000,-1
0.002506,0.006000,-1
0.042607,0.014000,-1
0.052632,0.000000,-1
0.042607,0.019000,-1
0.017544,0.005000,-1
0.027569,0.016000,-1
0.348371,0.183000,-1
0.017544,0.000000,-1
0.017544,0.008000,-1
0.007519,0.006000,-1
0.067669,0.023000,-1
0.022556,0.007000,-1
0.092732,0.114000,-1
0.052632,0.020000,-1
0.278195,0.183000,-1
0.203008,0.166000,-1
0.037594,0.012000,-1
0.052632,0.023000,-1
0.027569,0.016000,-1
0.223058,0.000000,-1
0.052632,0.036000,-1
0.017544,0.011000,-1
0.017544,0.012000,-1
0.077694,0.052000,-1
0.087719,0.055000,-1
0.037594,0.029000,-1
0.097744,0.034000,-1
0.037594,0.011000,-1
0.027569,0.012000,-1
0.047619,0.021000,-1
0.022556,0.007000,-1
0.067669,0.074000,-1
0.027569,0.000000,-1
0.027569,0.008000,-1
0.017544,0.006000,-1
0.679198,0.000000,-1
0.017544,0.014000,-1
0.017544,0.007000,-1
0.017544,0.007000,-1
0.052632,0.042000,-1
0.067669,0.072000,-1
0.062657,0.032000,-1
0.102757,0.141000,-1
0.167920,0.020000,-1
0.027569,0.008000,-1
0.007519,0.003000,-1
0.072682,0.076000,-1
0.022556,0.010000,-1
0.077694,0.029000,-1
0.017544,0.007000,-1
0.072682,0.038000,-1
0.012531,0.007000,-1
0.042607,0.016000,-1
0.007519,0.000000,-1
0.032581,0.000000,-1
0.203008,0.148000,-1
0.102757,0.061000,-1
0.032581,0.010000,-1
0.062657,0.024000,-1
0.027569,0.006000,-1
0.042607,0.014000,-1
0.017544,0.010000,-1
0.022556,0.013000,-1
0.072682,0.022000,-1
0.027569,0.011000,-1
0.072682,0.037000,-1
0.258145,0.156000,-1
0.037594,0.041000,-1
0.082707,0.090000,-1
0.077694,0.060000,-1
0.002506,0.002000,-1
0.032581,0.019000,-1
0.017544,0.006000,-1
0.017544,0.006000,-1
0.192982,0.027000,-1
0.032581,0.012000,-1
0.032581,0.010000,-1
0.102757,0.041000,-1
0.027569,0.016000,-1
0.007519,0.005000,-1
0.057644,0.024000,-1
0.087719,0.071000,-1
0.092732,0.062000,-1
0.012531,0.004000,-1
0.057644,0.049000,-1
0.022556,0.009000,-1
0.027569,0.015000,-1
0.022556,0.006000,-1
0.062657,0.016000,-1
0.037594,0.000000,-1
0.052632,0.000000,-1
0.137845,0.053000,-1
0.032581,0.013000,-1
0.017544,0.009000,-1
0.052632,0.059000,-1
0.047619,0.009000,-1
0.062657,0.023000,-1
0.042607,0.011000,-1
0.087719,0.055000,-1
0.172932,0.000000,-1
0.062657,0.000000,-1
0.057644,0.027000,-1
0.017544,0.004000,-1
0.072682,0.000000,-1
0.057644,0.032000,-1
0.192982,0.168000,-1
0.037594,0.015000,-1
0.122807,0.055000,-1
0.027569,0.013000,-1
0.032581,0.014000,-1
0.047619,0.027000,-1
0.062657,0.058000,-1
0.012531,0.005000,-1
0.117794,0.131000,-1
0.037594,0.017000,-1
0.037594,0.000000,-1
0.037594,0.015000,-1
0.022556,0.006000,-1
0.007519,0.005000,-1
0.012531,0.002000,-1
0.027569,0.000000,-1
0.042607,0.020000,-1
0.017544,0.012000,-1
0.197995,0.182000,-1
0.152882,0.170000,-1
0.002506,0.002000,-1
0.067669,0.029000,-1
0.042607,0.021000,-1
0.067669,0.028000,-1
0.052632,0.000000,-1
0.042607,0.019000,-1
0.042607,0.026000,-1
0.002506,0.007000,-1
0.037594,0.013000,-1
0.032581,0.013000,-1
0.027569,0.019000,-1
0.027569,0.015000,-1
0.032581,0.009000,-1
0.057644,0.021000,-1
0.067669,0.000000,-1
0.017544,0.000000,-1
0.032581,0.007000,-1
0.032581,0.011000,-1
0.062657,0.000000,-1
0.092732,0.144000,-1
0.027569,0.015000,-1
0.047619,0.013000,-1
0.032581,0.020000,-1
0.072682,0.052000,-1
0.047619,0.045000,-1
0.042607,0.018000,-1
0.027569,0.009000,-1
0.022556,0.007000,-1
0.027569,0.008000,-1
0.132832,0.122000,-1
0.012531,0.008000,-1
0.062657,0.053000,-1
0.558897,0.357000,-1
0.072682,0.068000,-1
0.027569,0.011000,-1
0.077694,0.045000,-1
0.032581,0.038000,-1
0.057644,0.050000,-1
0.132832,0.076000,-1
0.037594,0.015000,-1
0.022556,0.009000,-1
0.052632,0.012000,-1
0.037594,0.015000,-1
0.077694,0.040000,-1
0.102757,0.000000,-1
0.047619,0.014000,-1
0.082707,0.070000,-1
0.042607,0.019000,-1
0.022556,0.011000,-1
0.027569,0.010000,-1
0.142857,0.041000,-1
0.072682,0.031000,-1
0.012531,0.005000,-1
0.022556,0.011000,-1
0.067669,0.027000,-1
0.007519,0.003000,-1
0.283208,0.154000,-1
0.072682,0.058000,-1
0.127820,0.131000,-1
0.117794,0.175000,-1
0.042607,0.018000,-1
0.057644,0.026000,-1
0.147870,0.000000,-1
0.007519,0.003000,-1
0.067669,0.055000,-1
0.037594,0.000000,-1
0.047619,0.012000,-1
0.067669,0.000000,-1
0.007519,0.004000,-1
0.072682,0.040000,-1
0.107769,0.106000,-1
0.082707,0.085000,-1
0.007519,0.000000,-1
0.007519,0.004000,-1
0.057644,0.021000,-1
0.027569,0.015000,-1
0.032581,0.013000,-1
0.077694,0.056000,-1
0.057644,0.000000,-1
0.107769,0.074000,-1
0.037594,0.019000,-1
0.097744,0.067000,-1
0.027569,0.009000,-1
0.037594,0.019000,-1
0.017544,0.013000,-1
0.047619,0.051000,-1
0.052632,0.000000,-1
0.062657,0.041000,-1
0.042607,0.016000,-1
0.027569,0.014000,-1
0.152882,0.033000,-1
0.067669,0.029000,-1
0.047619,0.029000,-1
0.162907,0.094000,-1
0.072682,0.038000,-1
0.072682,0.000000,-1
0.042607,0.030000,-1
0.007519,0.000000,-1
0.007519,0.004000,-1
0.052632,0.022000,-1
0.062657,0.047000,-1
0.027569,0.007000,-1
0.047619,0.039000,-1
0.047619,0.000000,-1
0.127820,0.084000,-1
0.052632,0.000000,-1
0.067669,0.063000,-1
0.032581,0.014000,-1
0.022556,0.007000,-1
0.132832,0.101000,-1
0.027569,0.000000,-1
0.002506,0.001000,-1
0.027569,0.000000,-1
0.077694,0.055000,-1
0.007519,0.005000,-1
0.047619,0.037000,-1
0.037594,0.000000,-1
0.032581,0.007000,-1
0.047619,0.029000,-1
0.012531,0.007000,-1
0.022556,0.009000,-1
0.052632,0.000000,-1
0.052632,0.020000,-1
0.067669,0.049000,-1
0.177945,0.129000,-1
0.027569,0.018000,-1
0.012531,0.007000,-1
0.017544,0.031000,-1
0.032581,0.000000,-1
0.002506,0.000000,-1
0.218045,0.167000,-1
0.037594,0.017000,-1
0.102757,0.093000,-1
0.002506,0.000000,-1
0.077694,0.000000,-1
0.032581,0.000000,-1
0.037594,0.017000,-1
0.042607,0.033000,-1
0.057644,0.019000,-1
0.057644,0.032000,-1
0.037594,0.011000,-1
0.037594,0.026000,-1
0.087719,0.020000,-1
0.032581,0.026000,-1
0.022556,0.006000,-1
0.057644,0.024000,-1
0.022556,0.007000,-1
0.027569,0.012000,-1
0.042607,0.020000,-1
0.017544,0.009000,-1
0.132832,0.142000,-1
0.062657,0.045000,-1
0.067669,0.065000,-1
0.047619,0.014000,-1
0.047619,0.020000,-1
0.047619,0.019000,-1
0.022556,0.008000,-1
0.062657,0.035000,-1
0.012531,0.005000,-1
0.017544,0.008000,-1
0.032581,0.018000,-1
0.062657,0.000000,-1
0.017544,0.014000,-1
0.032581,0.000000,-1
0.032581,0.010000,-1
0.032581,0.005000,-1
0.057644,0.000000,-1
0.027569,0.013000,-1
0.228070,0.172000,-1
0.017544,0.009000,-1
0.032581,0.014000,-1
0.122807,0.000000,-1
0.032581,0.000000,-1
0.097744,0.051000,-1
0.017544,0.012000,-1
0.027569,0.014000,-1
0.027569,0.009000,-1
0.047619,0.029000,-1
0.177945,0.112000,-1
0.032581,0.007000,-1
0.037594,0.017000,-1
0.077694,0.027000,-1
0.017544,0.006000,-1
0.027569,0.009000,-1
0.022556,0.014000,-1
0.122807,0.093000,-1
0.112782,0.000000,-1
0.052632,0.015000,-1
0.037594,0.017000,-1
0.037594,0.017000,-1
0.037594,0.018000,-1
0.052632,0.020000,-1
0.107769,0.000000,-1
0.057644,0.023000,-1
0.072682,0.012000,-1
0.107769,0.044000,-1
0.052632,0.000000,-1
0.208020,0.108000,-1
0.238095,0.178000,-1
0.047619,0.013000,-1
0.092732,0.077000,-1
0.037594,0.024000,-1
0.027569,0.010000,-1
0.147870,0.110000,-1
0.052632,0.025000,-1
0.012531,0.000000,-1
0.027569,0.012000,-1
0.042607,0.017000,-1
0.057644,0.025000,-1
0.102757,0.094000,-1
0.012531,0.009000,-1
0.067669,0.018000,-1
0.102757,0.148000,-1
0.002506,0.000000,-1
0.032581,0.013000,-1
0.022556,0.007000,-1
0.042607,0.012000,-1
0.057644,0.031000,-1
0.022556,0.007000,-1
0.002506,0.001000,-1
0.017544,0.000000,-1
0.047619,0.000000,-1
0.037594,0.010000,-1
0.037594,0.015000,-1
0.052632,0.022000,-1
0.228070,0.043000,-1
0.087719,0.057000,-1
0.102757,0.046000,-1
0.047619,0.020000,-1
0.037594,0.000000,-1
0.062657,0.020000,-1
0.027569,0.000000,-1
0.047619,0.013000,-1
0.012531,0.003000,-1
0.047619,0.018000,-1
0.042607,0.031000,-1
0.077694,0.029000,-1
0.042607,0.021000,-1
0.197995,0.173000,-1
0.067669,0.056000,-1
0.137845,0.057000,-1
0.213033,0.146000,-1
0.002506,0.004000,-1
0.047619,0.000000,-1
0.027569,0.016000,-1
0.117794,0.135000,-1
0.052632,0.032000,-1
0.142857,0.130000,-1
0.022556,0.007000,-1
0.007519,0.000000,-1
0.037594,0.016000,-1
0.042607,0.029000,-1
0.017544,0.004000,-1
0.037594,0.022000,-1
0.007519,0.005000,-1
0.037594,0.012000,-1
0.122807,0.066000,-1
0.057644,0.046000,-1
0.022556,0.008000,-1
0.032581,0.009000,-1
0.037594,0.013000,-1
0.047619,0.000000,-1
0.052632,0.071000,-1
0.022556,0.000000,-1
0.027569,0.000000,-1
0.067669,0.047000,-1
0.027569,0.010000,-1
0.132832,0.160000,-1
0.052632,0.017000,-1
0.012531,0.006000,-1
0.052632,0.016000,-1
0.027569,0.011000,-1
0.012531,0.004000,-1
0.002506,0.000000,-1
0.037594,0.015000,-1
0.097744,0.095000,-1
0.032581,0.015000,-1
0.102757,0.000000,-1
0.022556,0.012000,-1
0.017544,0.008000,-1
0.037594,0.000000,-1
0.087719,0.000000,-1
0.072682,0.020000,-1
0.047619,0.028000,-1
0.017544,0.009000,-1
0.072682,0.049000,-1
0.022556,0.008000,-1
0.067669,0.036000,-1
0.087719,0.073000,-1
0.017544,0.009000,-1
0.047619,0.046000,-1
0.067669,0.028000,-1
0.032581,0.018000,-1
0.027569,0.012000,-1
0.032581,0.027000,-1
0.077694,0.075000,-1
0.047619,0.013000,-1
0.027569,0.026000,-1
0.037594,0.028000,-1
0.037594,0.014000,-1
0.017544,0.009000,-1
0.032581,0.010000,-1
0.022556,0.015000,-1
0.057644,0.040000,-1
0.062657,0.052000,-1
0.122807,0.000000,-1
0.022556,0.011000,-1
0.052632,0.000000,-1
0.092732,0.035000,-1
0.047619,0.017000,-1
0.062657,0.026000,-1
0.082707,0.101000,-1
0.027569,0.009000,-1
0.047619,0.015000,-1
0.052632,0.027000,-1
0.052632,0.023000,-1
0.012531,0.006000,-1
0.007519,0.003000,-1
0.002506,0.000000,-1
0.032581,0.000000,-1
0.037594,0.015000,-1
0.022556,0.013000,-1
0.022556,0.008000,-1
0.022556,0.007000,-1
0.027569,0.009000,-1
0.047619,0.019000,-1
0.047619,0.018000,-1
0.067669,0.032000,-1
0.047619,0.022000,-1
0.037594,0.018000,-1
0.042607,0.000000,-1
0.042607,0.011000,-1
0.017544,0.005000,-1
0.092732,0.114000,-1
0.047619,0.060000,-1
0.067669,0.015000,-1
0.027569,0.009000,-1
0.052632,0.000000,-1
0.027569,0.001000,-1
0.002506,0.000000,-1
0.022556,0.007000,-1
0.197995,0.073000,-1
0.032581,0.000000,-1
0.062657,0.028000,-1
0.052632,0.024000,-1
0.032581,0.009000,-1
0.107769,0.000000,-1
0.102757,0.036000,-1
0.062657,0.026000,-1
0.042607,0.018000,-1
0.032581,0.015000,-1
0.072682,0.049000,-1
0.037594,0.014000,-1
0.107769,0.092000,-1
0.012531,0.007000,-1
0.017544,0.009000,-1
0.022556,0.007000,-1
0.022556,0.010000,-1
0.022556,0.014000,-1
0.042607,0.039000,-1
0.032581,0.011000,-1
0.052632,0.028000,-1
0.017544,0.007000,-1
0.012531,0.004000,-1
0.037594,0.019000,-1
0.022556,0.013000,-1
0.042607,0.018000,-1
0.042607,0.018000,-1
